book_id,chap_id,term_str,n,tf,tfidf,max_pos,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
1245,24,strength,2,0.004514672686230248,0.01537694067573741,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01537694067573741,0.01537694067573741
1245,24,strike,1,0.002257336343115124,0.008758292433427198,VB,0.008758292433427198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008758292433427198
1245,24,suffering,1,0.002257336343115124,0.008256277938311064,NN,0.0,0.0,0.008256277938311064,0.008256277938311064,0.0,0.008256277938311064,0.0,0.0,-0.008256277938311064
1245,24,surprise,1,0.002257336343115124,0.005004421072879954,NN,0.0,0.0,0.0,0.005004421072879954,0.005004421072879954,0.0,0.005004421072879954,0.0,0.005004421072879954
1245,24,surrender,1,0.002257336343115124,0.012336085888779696,NN,0.0,0.0,0.0,0.012336085888779696,0.0,0.012336085888779696,0.0,0.0,-0.012336085888779696
1245,24,theory,1,0.002257336343115124,0.008758292433427198,NN,0.0,0.008758292433427198,0.0,0.0,0.0,0.0,0.0,0.008758292433427198,0.0
1245,24,toast,1,0.002257336343115124,0.01007874954566457,NN,0.0,0.0,0.0,0.0,0.01007874954566457,0.0,0.0,0.0,0.01007874954566457
1245,24,true,3,0.006772009029345372,0.010442802997190961,JJ,0.0,0.0,0.0,0.0,0.010442802997190961,0.0,0.0,0.010442802997190961,0.010442802997190961
1245,24,truth,4,0.009029345372460496,0.01810794067803258,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01810794067803258,0.01810794067803258
1245,24,unable,1,0.002257336343115124,0.006884533971671695,JJ,0.0,0.0,0.0,0.0,0.0,0.006884533971671695,0.0,0.0,-0.006884533971671695
1245,24,unattractive,1,0.002257336343115124,0.013656543001017067,NN,0.0,0.0,0.013656543001017067,0.0,0.0,0.013656543001017067,0.0,0.0,-0.013656543001017067
1245,24,understanding,1,0.002257336343115124,0.00709471321409039,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00709471321409039,0.00709471321409039
1245,24,unhappy,1,0.002257336343115124,0.007319398707433311,JJ,0.007319398707433311,0.0,0.007319398707433311,0.0,0.0,0.007319398707433311,0.0,0.0,-0.007319398707433311
1245,24,unsatisfactory,1,0.002257336343115124,0.010672506669442887,JJ,0.0,0.0,0.010672506669442887,0.0,0.0,0.0,0.0,0.0,-0.010672506669442887
1245,24,unsympathetic,1,0.002257336343115124,0.013656543001017067,JJ,0.013656543001017067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013656543001017067
1245,24,upright,1,0.002257336343115124,0.006157833983212639,JJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006157833983212639,0.006157833983212639
1245,24,usual,7,0.01580135440180587,0.03002417609395295,JJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03002417609395295,0.03002417609395295
1245,24,verge,1,0.002257336343115124,0.008415170326327763,NN,0.0,0.008415170326327763,0.0,0.008415170326327763,0.0,0.0,0.0,0.0,-0.008415170326327763
1245,24,victim,1,0.002257336343115124,0.01183407139366356,NN,0.01183407139366356,0.0,0.0,0.01183407139366356,0.0,0.01183407139366356,0.0,0.0,-0.01183407139366356
1245,24,violence,1,0.002257336343115124,0.010672506669442887,NN,0.010672506669442887,0.0,0.0,0.010672506669442887,0.0,0.010672506669442887,0.0,0.0,-0.010672506669442887
1245,24,vision,1,0.002257336343115124,0.005632640401293282,NN,0.0,0.005632640401293282,0.0,0.0,0.0,0.0,0.0,0.0,0.005632640401293282
1245,24,visionary,1,0.002257336343115124,0.01183407139366356,JJ,0.0,0.01183407139366356,0.0,0.0,0.01183407139366356,0.0,0.0,0.01183407139366356,0.01183407139366356
1245,24,visitor,1,0.002257336343115124,0.008415170326327763,NN,0.0,0.008415170326327763,0.0,0.0,0.008415170326327763,0.0,0.0,0.0,0.008415170326327763
1245,24,wages,1,0.002257336343115124,0.01292984301255801,NNS,0.0,0.0,0.0,0.0,0.01292984301255801,0.0,0.0,0.0,0.01292984301255801
1245,24,waste,1,0.002257336343115124,0.006687100921445197,NN,0.0,0.0,0.006687100921445197,0.0,0.0,0.0,0.0,0.0,-0.006687100921445197
1245,24,watch,1,0.002257336343115124,0.003820082493978505,NN,0.0,0.003820082493978505,0.0,0.003820082493978505,0.0,0.0,0.0,0.0,0.0
1245,24,welcomed,1,0.002257336343115124,0.012336085888779696,VBD,0.0,0.0,0.0,0.0,0.012336085888779696,0.0,0.0,0.0,0.012336085888779696
1245,24,white,5,0.011286681715575621,0.008215806484911955,JJ,0.0,0.008215806484911955,0.0,0.0,0.008215806484911955,0.0,0.0,0.008215806484911955,0.008215806484911955
1245,24,wisdom,1,0.002257336343115124,0.008944437264560321,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008944437264560321,0.008944437264560321
